Year,Kyn,Value
2000,Karl,28.05084746
2001,Karl,27.36757624
2002,Karl,26.32034632
2003,Karl,29.28321678
2004,Karl,25.83979328
2005,Karl,22.84710018
2006,Karl,24.36459246
2007,Karl,24.37810945
2008,Karl,22.34920635
2009,Karl,18.92826275
2010,Karl,18.54124063
2011,Karl,19.1503268
2012,Karl,18.09598741
2013,Karl,16.50700074
2014,Karl,15.14423077
2015,Karl,14.67324291
2016,Karl,14.02034498
2017,Karl,13.03952749
2018,Karl,12.24028907
2019,Karl,10.93872742
2020,Karl,9.838249286
2021,Karl,10.34808929
2022,Karl,8.694846125
2000,Kona,25.95296026
2001,Kona,26.31578947
2002,Kona,25.66445183
2003,Kona,23.30946698
2004,Kona,24.03225806
2005,Kona,23.84313725
2006,Kona,21.62588792
2007,Kona,21.73112339
2008,Kona,20.56194125
2009,Kona,18.735363
2010,Kona,18.45841785
2011,Kona,18.86543536
2012,Kona,16.718507
2013,Kona,17.78104335
2014,Kona,17.15647339
2015,Kona,14.004914
2016,Kona,14.75770925
2017,Kona,12.74376417
2018,Kona,12.48285322
2019,Kona,11.60591133
2020,Kona,11.26895757
2021,Kona,9.831675593
2022,Kona,9.169161677
2000,,26.97886448
2001,,26.84
2002,,25.98558711
2003,,26.15576843
2004,,24.90628905
2005,,23.37339412
2006,,22.92358804
2007,,23.04603027
2008,,21.45813435
2009,,18.8269073
2010,,18.49966056
2011,,19.00853578
2012,,17.40320688
2013,,17.14495953
2014,,16.15476665
2015,,14.33846154
2016,,14.38975944
2017,,12.89151158
2018,,12.36082708
2019,,11.27176158
2020,,10.55045872
2021,,10.09130683
2022,,8.930899609
